ZIP,TOTAL,RESIDENTS
10001,13870,275
10002,34748,271
10003,33932,408
10004,2075,80
10005,6745,111
10006,2451,51
10007,3738,8
10009,34277,493
10010,20291,350
10011,33421,412
10012,15522,163
10013,15469,102
10014,21767,375
10016,32969,731
10017,11747,126
10018,6952,47
10019,25709,261
10020,0,0
10021,25986,188
10022,19366,171
10023,35026,345
10024,34519,657
10025,48539,492
10026,18393,145
10027,26969,322
10028,29968,371
10029,32573,110
10030,13705,169
10031,32344,158
10032,30853,83
10033,28508,108
10034,21498,87
10035,12921,31
10036,18641,300
10037,8539,40
10038,12285,198
10039,11189,33
10040,22608,37
10044,5371,42
10065,18415,122
10069,3214,0
10075,13975,119
10103,0,0
10110,0,0
10111,0,0
10112,0,0
10115,0,0
10119,0,0
10128,37735,414
10152,0,0
10153,0,0
10154,0,0
10162,728,0
10165,0,0
10167,0,0
10168,0,0
10169,0,0
10170,0,0
10171,0,0
10172,0,0
10173,0,0
10174,0,0
10177,0,0
10199,0,0
10271,0,0
10278,0,0
10279,0,0
10280,6277,30
10282,3110,62
10451,17705,40
10452,29163,59
10453,30887,24
10454,13077,24
10455,15220,8
10456,32673,22
10457,26110,42
10458,32668,117
10459,16687,13
10460,21748,85
10461,23582,54
10462,36922,208
10463,32919,271
10464,1931,67
10465,20384,96
10466,31471,116
10467,41343,101
10468,33222,44
10469,31815,206
10470,7040,6
10471,9930,30
10472,26730,47
10473,23003,38
10474,4166,0
10475,19457,229
11001,14047,111
11003,23293,74
11004,7401,68
11005,357,0
11010,11654,115
11020,2906,10
11021,8618,74
11023,4064,16
11024,3055,8
11030,7547,66
11040,20182,139
11042,0,0
11050,14050,131
11096,3476,0
11101,14248,166
11102,19506,263
11103,23688,195
11104,15085,74
11105,21795,236
11106,22520,210
11109,3550,163
11201,33719,351
11203,33767,101
11204,32664,148
11205,19902,129
11206,35682,284
11207,36919,118
11208,37709,68
11209,34024,339
11210,30279,186
11211,50113,459
11212,31085,14
11213,28039,64
11214,41332,218
11215,42448,431
11216,30326,199
11217,22537,258
11218,34442,316
11219,35979,194
11220,45629,202
11221,38237,184
11222,23101,290
11223,33318,291
11224,15947,80
11225,29599,159
11226,47765,266
11228,20740,104
11229,36481,312
11230,35736,231
11231,19590,203
11232,13946,111
11233,30100,146
11234,44683,173
11235,34583,602
11236,48777,211
11237,27509,95
11238,31405,349
11239,4377,44
11351,0,0
11354,27287,157
11355,36222,216
11356,11173,55
11357,17613,135
11358,18580,81
11359,0,0
11360,9065,148
11361,15040,87
11362,9113,78
11363,3563,22
11364,17033,124
11365,20338,74
11366,6293,84
11367,19458,192
11368,53440,44
11369,17354,29
11370,12579,42
11371,0,0
11372,33401,154
11373,47867,174
11374,21959,311
11375,36273,367
11377,45801,317
11378,16409,68
11379,17367,65
11385,51751,270
11411,9501,44
11412,18792,59
11413,21074,118
11414,13152,0
11415,10326,190
11416,12082,24
11417,14820,127
11418,18399,68
11419,25253,103
11420,23637,140
11421,21373,21
11422,17318,124
11423,16008,63
11424,0,0
11425,0,0
11426,9690,78
11427,10487,101
11428,9615,35
11429,13016,86
11430,61,0
11432,28630,85
11433,14665,26
11434,30975,143
11435,28080,108
11436,9420,32
11451,0,0
11691,24626,16
11692,7178,25
11693,5438,12
11694,9164,26
11697,1693,8